"club","average_value_per_club","league_name"
"1. FC Heidenheim 1846",586428.571428571,"German 2. Bundesliga "
"1. FC Kaiserslautern",609615.384615385,"German 3. Bundesliga "
"1. FC Köln",3410523.25581395,"German 1. Bundesliga "
"1. FC Magdeburg",614069.767441861,"German 3. Bundesliga "
"1. FC Nürnberg",1259032.25806452,"German 2. Bundesliga "
"1. FC Union Berlin",905375,"German 1. Bundesliga "
"1. FSV Mainz 05",3195260.86956522,"German 1. Bundesliga "
"Aalborg BK",504902.912621359,"Danish Superliga "
"Aarhus GF",352162.162162162,"Danish Superliga "
"Aberdeen",563500,"Scottish Premiership "
"Abha Club",201428.571428571,"Saudi Abdul L. Jameel League "
"AC Ajaccio",398581.081081081,"French Ligue 2 "
"AC Arles Avignon",0,"French Ligue 2 "
"AC Barnechea",0,"Chilian Campeonato Nacional "
"AC Horsens",293367.346938776,"Danish Superliga "
"Academica Clinceni",298928.571428571,"Romanian Liga I "
"Accrington Stanley",196778.846153846,"English League One "
"AD Alcorcón",692241.379310345,"Spanish Segunda División "
"Adanaspor",567500,"Turkish Süper Lig "
"Adelaide United",236666.666666667,"Australian Hyundai A-League "
"ADO Den Haag",769000,"Holland Eredivisie "
"AEK Athens",2377941.17647059,"Greek Super League "
"AFC Eskilstuna",267419.35483871,"Swedish Allsvenskan "
"AFC Wimbledon",221421.052631579,"English League One "
"AIK",563380.281690141,"Swedish Allsvenskan "
"AJ Auxerre",560092.592592593,"French Ligue 2 "
"Ajax",4975954.19847328,"Holland Eredivisie "
"Akhisar Belediyespor",324318.181818182,"Turkish Süper Lig "
"Al Adalah",248125,"Saudi Abdul L. Jameel League "
"Al Ahli",691333.333333333,"Saudi Abdul L. Jameel League "
"Al Ain FC",322307.692307692,"UAE Arabian Gulf League "
"Al Batin",156718.75,"Saudi Abdul L. Jameel League "
"Al Faisaly",174224.137931034,"Saudi Abdul L. Jameel League "
"Al Fateh",144927.536231884,"Saudi Abdul L. Jameel League "
"Al Fayha",349130.434782609,"Saudi Abdul L. Jameel League "
"Al Hazem",207647.058823529,"Saudi Abdul L. Jameel League "
"Al Hilal",1131250,"Saudi Abdul L. Jameel League "
"Al Ittihad",754234.693877551,"Saudi Abdul L. Jameel League "
"Al Khaleej",178648.648648649,"Saudi Abdul L. Jameel League "
"Al Nassr",288392.857142857,"Saudi Abdul L. Jameel League "
"Al Orobah",0,"Saudi Abdul L. Jameel League "
"Al Qadisiyah",320985.915492958,"Saudi Abdul L. Jameel League "
"Al Raed",180563.38028169,"Saudi Abdul L. Jameel League "
"Al Shabab",386067.415730337,"Saudi Abdul L. Jameel League "
"Al Shoulla",0,"Saudi Abdul L. Jameel League "
"Al Taawoun",190800,"Saudi Abdul L. Jameel League "
"Al Wehda",525000,"Saudi Abdul L. Jameel League "
"Alanyaspor",1003857.14285714,"Turkish Süper Lig "
"Albacete BP",687890.625,"Spanish Segunda División "
"Albirex Niigata",253928.571428571,"Japanese J. League Division 1 "
"Alianza Petrolera",399175.824175824,"Colombian Liga Postobón "
"América de Cali",370357.142857143,"Colombian Liga Postobón "
"América FC (Minas Gerais)",1768750,"Campeonato Brasileiro Série A "
"Amiens SC",1746610.16949153,"French Ligue 1 "
"Amkar Perm",488000,"Russian Premier League "
"Angers SCO",1866554.05405405,"French Ligue 1 "
"Antalyaspor",648717.948717949,"Turkish Süper Lig "
"Argentina",0,"International"
"Argentinos Juniors",625153.846153846,"Argentina Primera División  "
"Arka Gdynia",319857.142857143,"Polish T-Mobile Ekstraklasa "
"Arsenal",5439852.94117647,"English Premier League "
"Arsenal de Sarandí",567937.5,"Argentina Primera División  "
"Arsenal Tula",611346.153846154,"Russian Premier League "
"AS Béziers",304090.909090909,"French Ligue 2 "
"AS Monaco",5033007.51879699,"French Ligue 1 "
"AS Nancy Lorraine",684430.379746835,"French Ligue 2 "
"AS Saint-Étienne",1705574.71264368,"French Ligue 1 "
"Ascoli",668134.328358209,"Italian Serie B "
"Associação Académica de Coimbra",404615.384615385,"Portuguese Liga ZON SAGRES "
"Aston Villa",2687386.36363636,"English Premier League "
"Astra Giurgiu",523076.923076923,"Romanian Liga I "
"Atalanta",2847229.72972973,"Italian Serie A "
"Athletic Club de Bilbao",5102168.6746988,"Spain Primera Division "
"Athlone Town",0,"Rep. Ireland Airtricity League "
"Atiker Konyaspor",1147500,"Turkish Süper Lig "
"Atlanta United",2612500,"USA Major League Soccer "
"Atlético Bucaramanga",465500,"Colombian Liga Postobón "
"Atlético de Rafaela",256500,"Argentina Primera División  "
"Atlético de San Luis",910555.555555556,"Mexican Liga MX "
"Atlético Huila",374418.604651163,"Colombian Liga Postobón "
"Atlético Madrid",10780392.1568627,"Spain Primera Division "
"Atlético Mineiro",1271363.63636364,"Campeonato Brasileiro Série A "
"Atlético Nacional",1123695.65217391,"Colombian Liga Postobón "
"Atlético Tucumán",563289.473684211,"Argentina Primera División  "
"Audax Italiano",548076.923076923,"Chilian Campeonato Nacional "
"Australia",0,"International"
"Austria",0,"International"
"Avaí FC",1155000,"Campeonato Brasileiro Série A "
"Avellino",396328.125,"Italian Serie B "
"Avispa Fukuoka",199375,"Japanese J. League Division 1 "
"AZ Alkmaar",1924533.89830508,"Holland Eredivisie "
"Balıkesirspor",0,"Turkish Süper Lig "
"Bari",643548.387096774,"Italian Serie B "
"Barnsley",505347.222222222,"English League Championship "
"Bayer 04 Leverkusen",8287670.45454545,"German 1. Bundesliga "
"Bayern München II",522708.333333333,"German 3. Bundesliga "
"Beijing Renhe FC",93750,"Chinese Super League "
"Beijing Sinobo Guoan FC",648000,"Chinese Super League "
"Belgrano de Córdoba",481643.835616438,"Argentina Primera División  "
"Benevento",1558571.42857143,"Italian Serie B "
"Beşiktaş JK",3426562.5,"Turkish Süper Lig "
"Bilbao Athletic",1033000,"Spanish Segunda División "
"Birmingham City",841049.382716049,"English League Championship "
"BK Häcken",319264.705882353,"Swedish Allsvenskan "
"Blackburn Rovers",669714.285714286,"English League Championship "
"Blackpool",254034.090909091,"English League One "
"Boavista FC",1017971.01449275,"Portuguese Liga ZON SAGRES "
"Boca Juniors",2712526.88172043,"Argentina Primera División  "
"Bohemian FC",128516.483516484,"Rep. Ireland Airtricity League "
"Bolivia",0,"International"
"Bologna",3129421.05263158,"Italian Serie A "
"Bolton Wanderers",469121.621621622,"English League One "
"Borussia Dortmund",6541950,"German 1. Bundesliga "
"Borussia Mönchengladbach",4294947.36842105,"German 1. Bundesliga "
"Botafogo",1611111.11111111,"Campeonato Brasileiro Série A "
"Bournemouth",2927990.19607843,"English Premier League "
"Boyacá Chicó FC",175000,"Colombian Liga Postobón "
"Bradford City",269350.649350649,"English League Two "
"Bray Wanderers",66985.2941176471,"Rep. Ireland Airtricity League "
"Brentford",1064076.92307692,"English League Championship "
"Brescia",733224.299065421,"Italian Serie A "
"Brighton & Hove Albion",2289729.72972973,"English Premier League "
"Brisbane Roar",285820.895522388,"Australian Hyundai A-League "
"Bristol City",847657.657657658,"English League Championship "
"Bristol Rovers",286232.876712329,"English League One "
"Brøndby IF",881979.166666667,"Danish Superliga "
"Bruk-Bet Termalica Nieciecza",279310.344827586,"Polish T-Mobile Ekstraklasa "
"BSC Young Boys",988229.166666667,"Swiss Super League "
"Bulgaria",0,"International"
"Burnley",809000,"English Premier League "
"Burton Albion",271280.487804878,"English League One "
"Bury",286666.666666667,"English League One "
"CA Osasuna",1236445.78313253,"Spain Primera Division "
"Cádiz CF",1102040.81632653,"Spanish Segunda División "
"Cagliari",1669701.49253731,"Italian Serie A "
"Cambridge United",191404.494382022,"English League Two "
"Cameroon",0,"International"
"Canada",67222.2222222222,"International"
"Cardiff City",1038432.8358209,"English League Championship "
"Carlisle United",142278.481012658,"English League Two "
"Carpi",741948.051948052,"Italian Serie B "
"Castellammare di Stabia",450384.615384615,"Italian Serie B "
"Catania",0,"Italian Serie B "
"Çaykur Rizespor",1031583.33333333,"Turkish Süper Lig "
"CD Antofagasta",443050.847457627,"Chilian Campeonato Nacional "
"CD Aves",1486029.41176471,"Portuguese Liga ZON SAGRES "
"CD Cobreloa",0,"Chilian Campeonato Nacional "
"CD Cobresal",265106.382978723,"Chilian Campeonato Nacional "
"CD Everton de Viña del Mar",508953.488372093,"Chilian Campeonato Nacional "
"CD Feirense",1226060.60606061,"Portuguese Liga ZON SAGRES "
"CD Huachipato",436210.526315789,"Chilian Campeonato Nacional "
"CD Leganés",2182434.21052632,"Spain Primera Division "
"CD Lugo",676250,"Spanish Segunda División "
"CD Mirandés",548723.404255319,"Spanish Segunda División "
"CD Nacional",1169113.92405063,"Portuguese Liga ZON SAGRES "
"CD Numancia",776865.671641791,"Spanish Segunda División "
"CD O'Higgins",480759.493670886,"Chilian Campeonato Nacional "
"CD Palestino",379142.857142857,"Chilian Campeonato Nacional "
