"club","average_wage_per_club","league_name"
"1. FC Heidenheim 1846",2309.52380952381,"German 2. Bundesliga "
"1. FC Kaiserslautern",2663.46153846154,"German 3. Bundesliga "
"1. FC Köln",11011.6279069767,"German 1. Bundesliga "
"1. FC Magdeburg",1976.74418604651,"German 3. Bundesliga "
"1. FC Nürnberg",4494.62365591398,"German 2. Bundesliga "
"1. FC Union Berlin",6400,"German 1. Bundesliga "
"1. FSV Mainz 05",11434.7826086957,"German 1. Bundesliga "
"Aalborg BK",2330.09708737864,"Danish Superliga "
"Aarhus GF",2000,"Danish Superliga "
"Aberdeen",3200,"Scottish Premiership "
"Abha Club",2714.28571428571,"Saudi Abdul L. Jameel League "
"AC Ajaccio",1594.59459459459,"French Ligue 2 "
"AC Arles Avignon",0,"French Ligue 2 "
"AC Barnechea",0,"Chilian Campeonato Nacional "
"AC Horsens",1510.20408163265,"Danish Superliga "
"Academica Clinceni",1000,"Romanian Liga I "
"Accrington Stanley",1192.30769230769,"English League One "
"AD Alcorcón",2568.96551724138,"Spanish Segunda División "
"Adanaspor",1000,"Turkish Süper Lig "
"Adelaide United",986.666666666667,"Australian Hyundai A-League "
"ADO Den Haag",3566.66666666667,"Holland Eredivisie "
"AEK Athens",1000,"Greek Super League "
"AFC Eskilstuna",1161.29032258065,"Swedish Allsvenskan "
"AFC Wimbledon",1084.21052631579,"English League One "
"AIK",1929.57746478873,"Swedish Allsvenskan "
"AJ Auxerre",2259.25925925926,"French Ligue 2 "
"Ajax",10862.5954198473,"Holland Eredivisie "
"Akhisar Belediyespor",1454.54545454545,"Turkish Süper Lig "
"Al Adalah",2750,"Saudi Abdul L. Jameel League "
"Al Ahli",6633.33333333333,"Saudi Abdul L. Jameel League "
"Al Ain FC",1000,"UAE Arabian Gulf League "
"Al Batin",1718.75,"Saudi Abdul L. Jameel League "
"Al Faisaly",1775.86206896552,"Saudi Abdul L. Jameel League "
"Al Fateh",2231.88405797101,"Saudi Abdul L. Jameel League "
"Al Fayha",3260.86956521739,"Saudi Abdul L. Jameel League "
"Al Hazem",2117.64705882353,"Saudi Abdul L. Jameel League "
"Al Hilal",8921.875,"Saudi Abdul L. Jameel League "
"Al Ittihad",5969.38775510204,"Saudi Abdul L. Jameel League "
"Al Khaleej",810.810810810811,"Saudi Abdul L. Jameel League "
"Al Nassr",3750,"Saudi Abdul L. Jameel League "
"Al Orobah",0,"Saudi Abdul L. Jameel League "
"Al Qadisiyah",2112.67605633803,"Saudi Abdul L. Jameel League "
"Al Raed",1450.70422535211,"Saudi Abdul L. Jameel League "
"Al Shabab",3516.85393258427,"Saudi Abdul L. Jameel League "
"Al Shoulla",0,"Saudi Abdul L. Jameel League "
"Al Taawoun",2013.33333333333,"Saudi Abdul L. Jameel League "
"Al Wehda",2571.42857142857,"Saudi Abdul L. Jameel League "
"Alanyaspor",2657.14285714286,"Turkish Süper Lig "
"Albacete BP",3312.5,"Spanish Segunda División "
"Albirex Niigata",1071.42857142857,"Japanese J. League Division 1 "
"Alianza Petrolera",791.208791208791,"Colombian Liga Postobón "
"América de Cali",1000,"Colombian Liga Postobón "
"América FC (Minas Gerais)",2750,"Campeonato Brasileiro Série A "
"Amiens SC",6288.13559322034,"French Ligue 1 "
"Amkar Perm",2885.71428571429,"Russian Premier League "
"Angers SCO",5972.97297297297,"French Ligue 1 "
"Antalyaspor",3794.87179487179,"Turkish Süper Lig "
"Argentina",0,"International"
"Argentinos Juniors",2200,"Argentina Primera División  "
"Arka Gdynia",1285.71428571429,"Polish T-Mobile Ekstraklasa "
"Arsenal",28921.568627451,"English Premier League "
"Arsenal de Sarandí",4012.5,"Argentina Primera División  "
"Arsenal Tula",3769.23076923077,"Russian Premier League "
"AS Béziers",1090.90909090909,"French Ligue 2 "
"AS Monaco",17857.1428571429,"French Ligue 1 "
"AS Nancy Lorraine",1696.20253164557,"French Ligue 2 "
"AS Saint-Étienne",7793.10344827586,"French Ligue 1 "
"Ascoli",1492.53731343284,"Italian Serie B "
"Associação Académica de Coimbra",3230.76923076923,"Portuguese Liga ZON SAGRES "
"Aston Villa",13318.1818181818,"English Premier League "
"Astra Giurgiu",1846.15384615385,"Romanian Liga I "
"Atalanta",13837.8378378378,"Italian Serie A "
"Athletic Club de Bilbao",15132.5301204819,"Spain Primera Division "
"Athlone Town",0,"Rep. Ireland Airtricity League "
"Atiker Konyaspor",3758.62068965517,"Turkish Süper Lig "
"Atlanta United",3195.65217391304,"USA Major League Soccer "
"Atlético Bucaramanga",1100,"Colombian Liga Postobón "
"Atlético de Rafaela",680,"Argentina Primera División  "
"Atlético de San Luis",3222.22222222222,"Mexican Liga MX "
"Atlético Huila",906.976744186047,"Colombian Liga Postobón "
"Atlético Madrid",31245.0980392157,"Spain Primera Division "
"Atlético Mineiro",16818.1818181818,"Campeonato Brasileiro Série A "
"Atlético Nacional",4840.57971014493,"Colombian Liga Postobón "
"Atlético Tucumán",1868.42105263158,"Argentina Primera División  "
"Audax Italiano",1446.15384615385,"Chilian Campeonato Nacional "
"Australia",0,"International"
"Austria",0,"International"
"Avaí FC",2200,"Campeonato Brasileiro Série A "
"Avellino",1687.5,"Italian Serie B "
"Avispa Fukuoka",1000,"Japanese J. League Division 1 "
"AZ Alkmaar",5186.4406779661,"Holland Eredivisie "
"Balıkesirspor",0,"Turkish Süper Lig "
"Bari",3225.8064516129,"Italian Serie B "
"Barnsley",2402.77777777778,"English League Championship "
"Bayer 04 Leverkusen",29625,"German 1. Bundesliga "
"Bayern München II",1166.66666666667,"German 3. Bundesliga "
"Beijing Renhe FC",1625,"Chinese Super League "
"Beijing Sinobo Guoan FC",3266.66666666667,"Chinese Super League "
"Belgrano de Córdoba",1712.32876712329,"Argentina Primera División  "
"Benevento",7523.80952380952,"Italian Serie B "
"Beşiktaş JK",16953.125,"Turkish Süper Lig "
"Bilbao Athletic",1000,"Spanish Segunda División "
"Birmingham City",4666.66666666667,"English League Championship "
"BK Häcken",1323.52941176471,"Swedish Allsvenskan "
"Blackburn Rovers",4104.7619047619,"English League Championship "
"Blackpool",1727.27272727273,"English League One "
"Boavista FC",3101.44927536232,"Portuguese Liga ZON SAGRES "
"Boca Juniors",11225.8064516129,"Argentina Primera División  "
"Bohemian FC",857.142857142857,"Rep. Ireland Airtricity League "
"Bolivia",0,"International"
"Bologna",14378.9473684211,"Italian Serie A "
"Bolton Wanderers",3675.67567567568,"English League One "
"Borussia Dortmund",25510,"German 1. Bundesliga "
"Borussia Mönchengladbach",14800,"German 1. Bundesliga "
"Botafogo",9111.11111111111,"Campeonato Brasileiro Série A "
"Bournemouth",14941.1764705882,"English Premier League "
"Boyacá Chicó FC",724.137931034483,"Colombian Liga Postobón "
"Bradford City",2025.97402597403,"English League Two "
"Bray Wanderers",750,"Rep. Ireland Airtricity League "
"Brentford",7323.07692307692,"English League Championship "
"Brescia",1971.96261682243,"Italian Serie A "
"Brighton & Hove Albion",11108.1081081081,"English Premier League "
"Brisbane Roar",1313.4328358209,"Australian Hyundai A-League "
"Bristol City",6423.42342342342,"English League Championship "
"Bristol Rovers",1684.93150684932,"English League One "
"Brøndby IF",4041.66666666667,"Danish Superliga "
"Bruk-Bet Termalica Nieciecza",1206.89655172414,"Polish T-Mobile Ekstraklasa "
"BSC Young Boys",5239.58333333333,"Swiss Super League "
"Bulgaria",0,"International"
"Burnley",4720,"English Premier League "
"Burton Albion",1500,"English League One "
"Bury",1625,"English League One "
"CA Osasuna",4072.28915662651,"Spain Primera Division "
"Cádiz CF",3183.67346938776,"Spanish Segunda División "
"Cagliari",8119.40298507463,"Italian Serie A "
"Cambridge United",1292.13483146067,"English League Two "
"Cameroon",0,"International"
"Canada",333.333333333333,"International"
"Cardiff City",6582.08955223881,"English League Championship "
"Carlisle United",1227.84810126582,"English League Two "
"Carpi",4922.07792207792,"Italian Serie B "
"Castellammare di Stabia",1000,"Italian Serie B "
"Catania",0,"Italian Serie B "
"Çaykur Rizespor",2616.66666666667,"Turkish Süper Lig "
"CD Antofagasta",898.305084745763,"Chilian Campeonato Nacional "
"CD Aves",4411.76470588235,"Portuguese Liga ZON SAGRES "
"CD Cobreloa",0,"Chilian Campeonato Nacional "
"CD Cobresal",1000,"Chilian Campeonato Nacional "
"CD Everton de Viña del Mar",1511.62790697674,"Chilian Campeonato Nacional "
"CD Feirense",3060.60606060606,"Portuguese Liga ZON SAGRES "
"CD Huachipato",1221.05263157895,"Chilian Campeonato Nacional "
"CD Leganés",6723.68421052632,"Spain Primera Division "
"CD Lugo",2409.09090909091,"Spanish Segunda División "
"CD Mirandés",1191.48936170213,"Spanish Segunda División "
"CD Nacional",5962.0253164557,"Portuguese Liga ZON SAGRES "
"CD Numancia",2865.67164179104,"Spanish Segunda División "
"CD O'Higgins",1164.55696202532,"Chilian Campeonato Nacional "
"CD Palestino",1014.28571428571,"Chilian Campeonato Nacional "
"CD Tenerife",3188.88888888889,"Spanish Segunda División "
"CD Tondela",2164.17910447761,"Portuguese Liga ZON SAGRES "
"CD Universidad de Concepción",815.789473684211,"Chilian Campeonato Nacional "
"CE Sabadell FC",0,"Spanish Segunda División "
"Celtic",12881.7204301075,"Scottish Premiership "
"Central Coast Mariners",960.526315789474,"Australian Hyundai A-League "
"Central Córdoba",2428.57142857143,"Argentina Primera División  "
"Cerezo Osaka",1346.15384615385,"Japanese J. League Division 1 "
"Cesena",1750,"Italian Serie B "
"CF Fuenlabrada",1437.5,"Spanish Segunda División "
"CF Rayo Majadahonda",5384.61538461538,"Spanish Segunda División "
"CF Reus Deportiu",2757.57575757576,"Spanish Segunda División "
"CFR Cluj",3000,"Romanian Liga I "
"Chacarita Juniors",2523.80952380952,"Argentina Primera División  "
"Chamois Niortais Football Club",1077.66990291262,"French Ligue 2 "
"Changchun Yatai FC",1444.44444444444,"Chinese Super League "
"Chapecoense",2000,"Campeonato Brasileiro Série A "
"Charlton Athletic",2896.22641509434,"English League Championship "
"Chelsea",40354.1666666667,"English Premier League "
"Cheltenham Town",1405.06329113924,"English League Two "
"Chemnitzer FC",1000,"German 3. Bundesliga "
"Chesterfield",1246.15384615385,"English League Two "
"Chicago Fire",2375,"USA Major League Soccer "
"Chievo Verona",4071.42857142857,"Italian Serie B "
"Chile",0,"International"
"China PR",0,"International"
"Chindia Târgovişte",1222.22222222222,"Romanian Liga I "
"Chivas USA",0,"USA Major League Soccer "
"Chongqing Dangdai Lifan FC SWM Team",1125,"Chinese Super League "
"Cittadella",743.243243243243,"Italian Serie B "
"Clermont Foot 63",1882.35294117647,"French Ligue 2 "
"Club América",9139.24050632911,"Mexican Liga MX "
"Club Atlas",4758.24175824176,"Mexican Liga MX "
"Club Atlético Aldosivi",1771.42857142857,"Argentina Primera División  "
"Club Atlético Banfield",3137.25490196078,"Argentina Primera División  "
"Club Atlético Colón",2707.69230769231,"Argentina Primera División  "
"Club Atlético Huracán",3190.47619047619,"Argentina Primera División  "
"Club Atlético Lanús",6000,"Argentina Primera División  "
"Club Atlético Sarmiento",1120,"Argentina Primera División  "
"Club Atlético Talleres",2959.45945945946,"Argentina Primera División  "
"Club Atlético Temperley",1589.74358974359,"Argentina Primera División  "
"Club Atlético Tigre",3716.66666666667,"Argentina Primera División  "
"Club Brugge KV",10864.5833333333,"Belgian Jupiler Pro League "
"Club Deportes Temuco",1208.33333333333,"Chilian Campeonato Nacional "
"Club León",4343.28358208955,"Mexican Liga MX "
"Club Necaxa",3333.33333333333,"Mexican Liga MX "
"Club Olimpo",1083.33333333333,"Argentina Primera División  "
"Club Tijuana",4488.37209302326,"Mexican Liga MX "
"Clube Sport Marítimo",4573.52941176471,"Portuguese Liga ZON SAGRES "
"Colchester United",1645.16129032258,"English League Two "
"Colo-Colo",3250,"Chilian Campeonato Nacional "
"Colombia",0,"International"
"Colorado Rapids",2108.10810810811,"USA Major League Soccer "
"Columbus Crew SC",2887.32394366197,"USA Major League Soccer "
"Coquimbo Unido",1000,"Chilian Campeonato Nacional "
"Córdoba CF",2083.33333333333,"Spanish Segunda División "
"Coritiba",4100,"Campeonato Brasileiro Série A "
"Cork City",840,"Rep. Ireland Airtricity League "
"Cortuluá",1566.03773584906,"Colombian Liga Postobón "
"Cosenza",3428.57142857143,"Italian Serie B "
"Côte d'Ivoire",0,"International"
"Coventry City",1622.80701754386,"English League One "
"Cracovia",1172.83950617284,"Polish T-Mobile Ekstraklasa "
"Crawley Town",1160,"English League Two "
"Crewe Alexandra",1468.25396825397,"English League Two "
"Criciúma",3600,"Campeonato Brasileiro Série B "
"Crotone",3210,"Italian Serie B "
"Crucero del Norte",1000,"Argentina Primera División  "
"Cruz Azul",8679.24528301887,"Mexican Liga MX "
"Cruzeiro",21500,"Campeonato Brasileiro Série A "
"Crystal Palace",12140.8450704225,"English Premier League "
"Cúcuta Deportivo",1055.55555555556,"Colombian Liga Postobón "
"Curicó Unido",1050,"Chilian Campeonato Nacional "
"Czech Republic",0,"International"
"Daegu FC",1186.04651162791,"Korean K League Classic "
"Dalian YiFang FC",3047.61904761905,"Chinese Super League "
"Dalkurd FF",1000,"Swedish Allsvenskan "
