League Name,Team Name,Country
SUPERLIGA ARGENTINA DE FÚTBOL,Aldosivi,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Argentinos Jrs.,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Arsenal,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Atlético Tucumán,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Banfield,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Buenos Aires,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Central Córdoba,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Colón,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Defensa y Justicia,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Estudiantes,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Gimnasia,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Godoy Cruz,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Huracán,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Independiente,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Lanús,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Newell’s,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Patronato,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Racing Club,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Núñez,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Rosario Central,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,San Lorenzo,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Talleres,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Unión,Argentina
SUPERLIGA ARGENTINA DE FÚTBOL,Vélez Sarsfield,Argentina
HYUNDAI A-LEAGUE,Adelaide United,Australia
HYUNDAI A-LEAGUE,Brisbane Roar,Australia
HYUNDAI A-LEAGUE,Central Coast Mariners,Australia
HYUNDAI A-LEAGUE,Melbourne City,Australia
HYUNDAI A-LEAGUE,Melbourne Victory,Australia
HYUNDAI A-LEAGUE,Newcastle Jets,Australia
HYUNDAI A-LEAGUE,Perth Glory,Australia
HYUNDAI A-LEAGUE,Sydney FC,Australia
HYUNDAI A-LEAGUE,Wellington Phoenix,Australia
HYUNDAI A-LEAGUE,Western Sydney Wanderers,Australia
HYUNDAI A-LEAGUE,Western United,Australia
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,FC Admira Wacker Mödling,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,FC Red Bull Salzburg,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,FK Austria Wien,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,LASK,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,SCR Altach,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,SK Rapid Wien,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,SK Sturm Graz,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,SKN St. Pölten,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,SV Mattersburg,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,TSV Hartberg,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,Wolfsberger AC,Austria
ÖSTERREICHISCHE FUSSBALL-BUNDESLIGA,WSG Wattens,Austria
LIGA DO BRASIL,Atl. Paranaense,Brazil
LIGA DO BRASIL,Avaí,Brazil
LIGA DO BRASIL,Bahia,Brazil
LIGA DO BRASIL,Botafogo,Brazil
LIGA DO BRASIL,Ceará SC,Brazil
LIGA DO BRASIL,Chapecoense,Brazil
LIGA DO BRASIL,Cruzeiro,Brazil
LIGA DO BRASIL,CSA,Brazil
LIGA DO BRASIL,Fluminense,Brazil
LIGA DO BRASIL,Fortaleza,Brazil
LIGA DO BRASIL,Góias,Brazil
LIGA DO BRASIL,Grêmio,Brazil
LIGA DO BRASIL,Internacional,Brazil
LIGA DO BRASIL,Paraná,Brazil
LIGA DO BRASIL,Santos,Brazil
PRO LEAGUE,Antwerp,Belgium
PRO LEAGUE,Cercle Brugge,Belgium
PRO LEAGUE,Charleroi,Belgium
PRO LEAGUE,Club Brugge,Belgium
PRO LEAGUE,Eupen,Belgium
PRO LEAGUE,Excel Mouscron,Belgium
PRO LEAGUE,Genk,Belgium
PRO LEAGUE,Gent,Belgium
PRO LEAGUE,Kortrijk,Belgium
PRO LEAGUE,Mechelen,Belgium
PRO LEAGUE,Oostende,Belgium
PRO LEAGUE,R.S.C Anderlecht,Belgium
PRO LEAGUE,Sint-Truiden,Belgium
PRO LEAGUE,Standard Liège,Belgium
PRO LEAGUE,Waasland-Beveren,Belgium
PRO LEAGUE,Zulte Waregem,Belgium
CAMPEONATO NACIONAL SCOTIABANK,Audax Italiano,Chile
CAMPEONATO NACIONAL SCOTIABANK,Cobresal,Chile
CAMPEONATO NACIONAL SCOTIABANK,Colo Colo,Chile
CAMPEONATO NACIONAL SCOTIABANK,Coquimbo Unido,Chile
CAMPEONATO NACIONAL SCOTIABANK,Curicó Unido,Chile
CAMPEONATO NACIONAL SCOTIABANK,Deportes Antofagasta,Chile
CAMPEONATO NACIONAL SCOTIABANK,Deportes Iquique,Chile
CAMPEONATO NACIONAL SCOTIABANK,Deportes Nuñoa,Chile
CAMPEONATO NACIONAL SCOTIABANK,Everton,Chile
CAMPEONATO NACIONAL SCOTIABANK,Huachipato,Chile
CAMPEONATO NACIONAL SCOTIABANK,O’Higgins,Chile
CAMPEONATO NACIONAL SCOTIABANK,Palestino,Chile
CAMPEONATO NACIONAL SCOTIABANK,Unión Española,Chile
CAMPEONATO NACIONAL SCOTIABANK,Unión La Calera,Chile
CAMPEONATO NACIONAL SCOTIABANK,Universidad Católica,Chile
CAMPEONATO NACIONAL SCOTIABANK,Universidad de Concepción,Chile
  CHINESE SUPER LEAGUE,Beijing Renhe,China
  CHINESE SUPER LEAGUE,Beijing Sinobo Guoan,China
  CHINESE SUPER LEAGUE,Chongqing Dangdai Lifan,China
  CHINESE SUPER LEAGUE,Dalian Yifang,China
  CHINESE SUPER LEAGUE,Guangzhou Evergrande Taobao,China
  CHINESE SUPER LEAGUE,Guangzhou R&F,China
  CHINESE SUPER LEAGUE,Hebei China Fortune,China
  CHINESE SUPER LEAGUE,Henan Jianye,China
  CHINESE SUPER LEAGUE,Jiangsu Suning,China
  CHINESE SUPER LEAGUE,Shandong Luneng Taishan,China
  CHINESE SUPER LEAGUE,Shanghai Greenland Shenhua,China
  CHINESE SUPER LEAGUE,Shanghai SIPG,China
  CHINESE SUPER LEAGUE,Shenzhen F.C.,China
  CHINESE SUPER LEAGUE,Tianjin TEDA,China
  CHINESE SUPER LEAGUE,Tianjin Tianhai,China
  CHINESE SUPER LEAGUE,Wuhan Zall,China
 LIGA DIMAYOR,Alianza Petrolera,Colombia
 LIGA DIMAYOR,América de Cali,Colombia
 LIGA DIMAYOR,Atlético Bucaramanga,Colombia
 LIGA DIMAYOR,Atlético Huila,Colombia
 LIGA DIMAYOR,Atlético Nacional,Colombia
 LIGA DIMAYOR,Cúcuta Deportivo,Colombia
 LIGA DIMAYOR,Deportes Tolima,Colombia
 LIGA DIMAYOR,Deportivo Cali,Colombia
 LIGA DIMAYOR,Deportivo Pasto,Colombia
 LIGA DIMAYOR,Envigado,Colombia
 LIGA DIMAYOR,Independiente Medellín,Colombia
 LIGA DIMAYOR,Jaguares,Colombia
